,date,year,month,appraiser,estimator,lawyer,auditor,actuary,all,official,ratio,appraiser_a,estimator_a,lawyer_a,auditor_a,actuary_a,monthly_avg_rate,appraiser_a_usd,estimator_a_usd,lawyer_a_usd,auditor_a_usd,actuary_a_usd,official_usd,index,appraiser_a_usd_real,estimator_a_usd_real,lawyer_a_usd_real,auditor_a_usd_real,actuary_a_usd_real,official_usd_real,oil_price,appraiser_barrels,estimator_barrels,lawyer_barrels,auditor_barrels,actuary_barrels,official_barrels,appraiser_a_usd_real_smoothed,estimator_a_usd_real_smoothed,lawyer_a_usd_real_smoothed,auditor_a_usd_real_smoothed,actuary_a_usd_real_smoothed,official_usd_real_smoothed,appraiser_barrels_smoothed,estimator_barrels_smoothed,lawyer_barrels_smoothed,auditor_barrels_smoothed,actuary_barrels_smoothed,official_barrels_smoothed
0,2017-01,2017,1,28510,43899,32084,34436,60000,33609,34422,1.0241899491207713,29199.65544943319,44960.91457645274,32860.110327590824,35269.00508792288,61451.39694724628,59.629856249999996,489.68180179762203,754.0000497058509,551.0680788802141,591.4655393441919,1030.5474608157601,577.261160175948,0.9409515422585802,520.4112856037532,801.3165565317138,585.6497961175312,628.5823581568167,1095.2184193695261,613.48659760984,53.95,9.076585760845635,13.975904535789635,10.214422222061428,10.963216669957218,19.101899181015014,10.69992882624556,627.3934423755823,873.3056630946463,711.0818957364734,712.9232127877812,2774.831600753122,677.9720492275837,12.432881384793415,17.170116835740384,14.01405888192714,13.832035748813734,56.229920256384084,13.436864031057404
1,2017-02,2017,2,29313,42660,31609,39482,123000,35021,35497,1.013591844893064,29711.41774935039,43239.82810313811,32038.624625224864,40018.63322006795,124671.79692184688,58.539361111111106,507.54598590436257,738.6453709507763,547.300551579538,683.6192343150152,2129.708875455825,606.3783294905566,0.942450155654948,538.5388106298817,783.7500652089773,580.7209519735247,725.3638085930811,2259.757571980877,643.4062595800187,52.31,9.702656966246655,14.120538538535198,10.462637193262053,13.068614687727303,40.71322644725339,11.592015474872042,633.4246213751838,879.8733801410754,726.4194654996106,715.5291298261548,2799.2349429652804,681.624679009039,12.295613006610495,16.96363174045949,14.011929277629275,13.625219391768336,55.507333635378146,13.240823017204276
2,2017-03,2017,3,28905,42439,31497,31248,131323,33682,37899,1.1252004037764978,32523.917671159666,47752.37993587079,35440.43711774835,35160.262217208,147764.692625141,58.006631818181816,560.6930906297725,823.2227667613535,610.9721596805379,606.1421102231149,2547.3758429605127,653.3563286141499,0.9420098414096235,595.2093767839532,873.9003889062167,648.5836270736611,643.4562396037007,2704.1923884241164,693.5769669205022,50.6,11.080891119165464,16.26922463955244,12.074548610287309,11.979093087413336,50.343396105938986,12.912180407394267,639.0806037492142,886.1591648154614,740.9330289510323,717.9372300595323,2822.805651892283,685.1512554318325,12.150304155218395,16.74906911639276,13.991780033895434,13.413193752976486,54.75947453534144,13.040266514878507
3,2017-04,2017,4,31276,40788,31332,33954,135918,32589,39225,1.2036269907023842,37644.63776120777,49093.53769676885,37712.0408726871,40867.95084230875,163594.57332228665,56.43561428571428,667.0369098956875,869.903487684656,668.2312463502903,724.1517853497305,2898.7825399412345,695.0398342687863,0.9431724255135069,707.2268991881539,922.3164971251573,708.4931962323583,767.7830328377853,3073.438600967371,736.9170423853034,49.36,13.513713733705176,17.623652505766938,13.537910177274926,14.67082223155856,58.72736101987915,14.081033919545915,644.4021239764837,892.2048132299237,754.659480000478,720.1582617331791,2845.781479957012,688.5813124858324,11.998349297050213,16.528209675124625,13.955147983941952,13.197178225823826,53.993011847072204,12.836607887914408
4,2017-05,2017,5,30648,41852,33726,38347,137491,30967,39679,1.2813317402396098,39270.25517486356,53626.29599250815,43214.19427132108,49135.22824296832,176171.58229728419,56.950068421052634,689.5558910399235,941.6370775190186,758.8084697602604,862.7773346942035,3093.4393440018966,696.733140101583,0.9424424308436266,731.6689788920773,999.1454615175942,805.1510043759529,915.4695358122715,3282.364251398154,739.2845624298801,48.15,14.320994621805266,19.556325597487405,15.759262092632616,17.91853239240298,64.2458846106313,14.470054830770156,649.4517125091222,898.066350483135,767.6928449228512,722.2205293152459,2868.4920617917933,691.9433740399319,11.841797968355472,16.303377871151724,13.90489746422262,12.978948151302896,53.21804860544918,12.631512577114718
5,2017-06,2017,6,32103,42041,43552,33165,143641,31165,41454,1.330145997112145,42701.67694529119,55920.66786459169,57930.51846622814,44114.29199422429,191063.5011711856,57.89317619047618,737.5943030798145,965.9284831878168,1000.6450203324325,761.9946753151434,3300.2767121044026,716.0429385254469,0.9430565533436847,782.1315704393477,1024.252978003321,1061.0657619466863,808.0052809276692,3499.553341104518,759.278895827252,46.08,16.00682081336403,20.961989652513388,21.715386725964247,16.53634278027655,71.62058837032124,15.539126270083482,654.2778434425308,903.7922861765638,780.1699716534587,724.1371458343202,2891.1836557166584,695.2493181638137,11.682373044226205,16.07668210543565,13.844651563127375,12.759961219048773,52.44355830304842,12.426315765940858
6,2017-07,2017,7,31357,41293,43720,31262,131926,30777,38073,1.2370601423140657,38790.49488254216,51081.924456574714,54084.26942197095,38672.97416902232,163200.39633492543,59.69267619047619,649.8367531514876,855.7486063043141,906.0453119808349,647.8679904653444,2734.010380338143,637.8169388571398,0.9433655457965439,688.8493607245206,907.1230236437677,960.4392655826781,686.7624044063514,2898.1452550608506,676.1079432030668,51.74,12.559658932189556,16.539400972251915,17.511505836506277,12.521607855920843,52.84132934553813,12.327347098127943,658.8980807512302,909.4002639255559,792.2411693340313,725.8760632027722,2913.900920535624,698.4871186027874,11.521053719718978,15.849427424313847,13.778015864262485,12.54075031641382,51.67419316017507,12.221686286557643
7,2017-08,2017,8,29287,40862,41361,32359,128551,31293,37099,1.1855367014987377,34720.81337679353,48443.400696641416,49034.983510689286,38362.78212379765,152401.92851436423,59.61272608695652,582.4396174425341,812.6352186272691,822.5589857971337,643.533430560418,2556.533453814157,622.333559211569,0.9469962071176411,615.0390181765324,858.118768078993,868.5979728480062,679.5522787985936,2699.6237520268865,657.1658413561727,51.69,11.267936108387195,15.721323633725461,15.913309843241125,12.449863233902457,49.45895635159909,12.039728365478217,663.2887916359693,914.8668358816382,804.0316598221857,727.360935560217,2936.4183268002075,701.6152416226441,11.358050176027284,15.62197612930264,13.708056214399452,12.320668634216824,50.90875835117588,12.017444344808117
8,2017-09,2017,9,30053,42044,36675,26171,131836,31901,38047,1.1926585373499263,35842.96702297733,50144.1355443403,43740.75185730855,31213.066580984923,157235.3309300649,57.744690909090906,620.7145013453431,868.376551244921,757.485253946044,540.5356940973938,2722.940039242827,658.8830834664691,0.9518319390048898,652.1261536929309,912.3212992335403,795.8182772664373,567.8898468804343,2860.73615273887,692.2262812018165,56.27,11.031002334198385,15.43231830895541,13.46161816147226,9.606107945573019,48.39061736703086,11.709313727856212,667.3913304514987,920.1456562369744,815.6306612751956,728.4969469862676,2958.3339198903614,704.5766737608177,11.192651947757835,15.393785564186103,13.636853916926649,12.098192290168628,50.14175382890135,11.81269783618135
9,2017-10,2017,10,31400,42258,43816,31213,132827,31809,38333,1.205099185765035,37840.1144330221,50925.08139205885,52802.62592348077,37614.76088528404,160069.70954761232,57.69805238095238,655.8300128257725,882.6135249041878,915.154389871785,651.9242735774153,2774.265385783723,664.3725120374204,0.9525696584860914,688.4850960590913,926.5606111230919,960.7217506027117,684.3848822704593,2912.40158771468,697.4529433294152,61.15,10.724938885131195,14.433581764581975,14.965730006079886,10.661067433808919,45.36819927692107,10.864636337488477,671.1268184933713,925.1814028199823,827.1099371927188,729.185362932769,2979.1127987730706,707.3050294610239,11.023106195455405,15.163132277828746,13.565385847788125,11.870752576185373,49.363101380741654,11.605576761328303
