date,price,open,high,low,change
11/01/2020,46.92,46.92,46.92,46.92,0.264
10/01/2020,37.12,37.12,37.12,37.12,-0.0832
09/01/2020,40.49,40.49,40.49,40.49,-0.1022
08/01/2020,45.1,45.1,45.1,45.1,0.0351
07/01/2020,43.57,43.57,43.57,43.57,-0.0134
06/01/2020,44.16,44.16,44.16,44.16,0.2453
05/01/2020,35.46,35.46,35.46,35.46,0.8882
04/01/2020,18.78,18.78,18.78,18.78,0.2429
03/01/2020,15.11,15.11,15.11,15.11,-0.6907
02/01/2020,48.86,48.86,48.86,48.86,-0.1629
01/01/2020,58.37,58.37,58.37,58.37,-0.1192
12/01/2019,66.27,66.27,66.27,66.27,0.0172
11/01/2019,65.15,65.15,65.15,65.15,0.0831
10/01/2019,60.15,60.15,60.15,60.15,0.0035
09/01/2019,59.94,59.94,59.94,59.94,-0.0346
08/01/2019,62.09,62.09,62.09,62.09,-0.0431
07/01/2019,64.89,64.89,64.89,64.89,-0.0208
06/01/2019,66.27,66.27,66.27,66.27,-0.0208
05/01/2019,67.68,67.68,67.68,67.68,-0.074
04/01/2019,73.09,73.09,73.09,73.09,0.065
03/01/2019,68.63,68.63,68.63,68.63,0.0603
02/01/2019,64.73,64.73,64.73,64.73,0.0281
01/01/2019,62.96,62.96,62.96,62.96,0.2438
12/01/2018,50.62,50.62,50.62,50.62,-0.1259
11/01/2018,57.91,57.91,57.91,57.91,-0.2099
10/01/2018,73.29,73.29,73.29,73.29,-0.107
09/01/2018,82.07,82.07,82.07,82.07,0.0674
08/01/2018,76.89,76.89,76.89,76.89,0.0568
07/01/2018,72.76,72.76,72.76,72.76,-0.0481
06/01/2018,76.44,76.44,76.44,76.44,0.0091
05/01/2018,75.75,75.75,75.75,75.75,0.0353
04/01/2018,73.17,73.17,73.17,73.17,0.0813
03/01/2018,67.67,67.67,67.67,67.67,0.0602
02/01/2018,63.83,63.83,63.83,63.83,-0.0426
01/01/2018,66.67,66.67,66.67,66.67,-0.0009
12/01/2017,66.73,66.73,66.73,66.73,0.0537
11/01/2017,63.33,63.33,63.33,63.33,0.0357
10/01/2017,61.15,61.15,61.15,61.15,0.0867
09/01/2017,56.27,56.27,56.27,56.27,0.0886
08/01/2017,51.69,51.69,51.69,51.69,-0.001
07/01/2017,51.74,51.74,51.74,51.74,0.1228
06/01/2017,46.08,46.08,46.08,46.08,-0.043
05/01/2017,48.15,48.15,48.15,48.15,-0.0245
04/01/2017,49.36,49.36,49.36,49.36,-0.0245
03/01/2017,50.6,50.6,50.6,50.6,-0.0327
02/01/2017,52.31,52.31,52.31,52.31,-0.0304
01/01/2017,53.95,53.95,53.95,53.95,0.0092
12/01/2016,53.46,53.46,53.46,53.46,0.1411
11/01/2016,46.85,46.85,46.85,46.85,0.0446
10/01/2016,44.85,44.85,44.85,44.85,-0.0322
09/01/2016,46.34,46.34,46.34,46.34,0.0458
08/01/2016,44.31,44.31,44.31,44.31,0.1215
07/01/2016,39.51,39.51,39.51,39.51,-0.1567
06/01/2016,46.85,46.85,46.85,46.85,-0.018
05/01/2016,47.71,47.71,47.71,47.71,0.076
04/01/2016,44.34,44.34,44.34,44.34,0.2313
03/01/2016,36.01,36.01,36.01,36.01,0.0601
02/01/2016,33.97,33.97,33.97,33.97,0.0719
01/01/2016,31.69,31.69,31.69,31.69,-0.0987
12/01/2015,35.16,35.16,35.16,35.16,-0.18
11/01/2015,42.88,42.88,42.88,42.88,-0.0759
10/01/2015,46.4,46.4,46.4,46.4,0.01
09/01/2015,45.94,45.94,45.94,45.94,-0.024
08/01/2015,47.07,47.07,47.07,47.07,-0.092
07/01/2015,51.84,51.84,51.84,51.84,-0.1397
06/01/2015,60.26,60.26,60.26,60.26,-0.0337
05/01/2015,62.36,62.36,62.36,62.36,-0.0117
04/01/2015,63.1,63.1,63.1,63.1,0.2033
03/01/2015,52.44,52.44,52.44,52.44,-0.1331
02/01/2015,60.49,60.49,60.49,60.49,0.2703
01/01/2015,47.62,47.62,47.62,47.62,-0.1086
12/01/2014,53.42,53.42,53.42,53.42,-0.2517
11/01/2014,71.39,71.39,71.39,71.39,-0.1432
10/01/2014,83.32,83.32,83.32,83.32,-0.1014
09/01/2014,92.72,92.72,92.72,92.72,-0.0762
08/01/2014,100.37,100.37,100.37,100.37,-0.0445
07/01/2014,105.04,105.04,105.04,105.04,-0.0388
06/01/2014,109.28,109.28,109.28,109.28,0.0231
05/01/2014,106.81,106.81,106.81,106.81,-0.0081
04/01/2014,107.68,107.68,107.68,107.68,0.0241
03/01/2014,105.15,105.15,105.15,105.15,-0.0276
02/01/2014,108.13,108.13,108.13,108.13,0.0076
01/01/2014,107.31,107.31,107.31,107.31,-0.0132
12/01/2013,108.75,108.75,108.75,108.75,-0.0178
11/01/2013,110.72,110.72,110.72,110.72,0.0398
10/01/2013,106.48,106.48,106.48,106.48,-0.0049
09/01/2013,107,107,107,107,-0.0758
08/01/2013,115.77,115.77,115.77,115.77,0.0666
07/01/2013,108.54,108.54,108.54,108.54,0.061
06/01/2013,102.3,102.3,102.3,102.3,0.0232
05/01/2013,99.98,99.98,99.98,99.98,-0.0139
04/01/2013,101.39,101.39,101.39,101.39,-0.0574
03/01/2013,107.56,107.56,107.56,107.56,-0.016
02/01/2013,109.31,109.31,109.31,109.31,-0.0563
01/01/2013,115.83,115.83,115.83,115.83,0.0568
12/01/2012,109.6,109.6,109.6,109.6,-0.0063
11/01/2012,110.29,110.29,110.29,110.29,0.0077
10/01/2012,109.45,109.45,109.45,109.45,-0.0037
09/01/2012,109.86,109.86,109.86,109.86,-0.0336
08/01/2012,113.68,113.68,113.68,113.68,0.0731
07/01/2012,105.94,105.94,105.94,105.94,0.134
06/01/2012,93.42,93.42,93.42,93.42,-0.0752
05/01/2012,101.02,101.02,101.02,101.02,-0.1396
04/01/2012,117.41,117.41,117.41,117.41,-0.0281
03/01/2012,120.81,120.81,120.81,120.81,-0.0031
02/01/2012,121.18,121.18,121.18,121.18,0.0961
01/01/2012,110.56,110.56,110.56,110.56,0.0446
12/01/2011,105.84,105.84,105.84,105.84,-0.0509
11/01/2011,111.52,111.52,111.52,111.52,0.0266
10/01/2011,108.63,108.63,108.63,108.63,0.0433
09/01/2011,104.12,104.12,104.12,104.12,-0.103
08/01/2011,116.08,116.08,116.08,116.08,0.018
07/01/2011,114.03,114.03,114.03,114.03,0.037
06/01/2011,109.96,109.96,109.96,109.96,-0.0371
05/01/2011,114.2,114.2,114.2,114.2,-0.0715
04/01/2011,122.99,122.99,122.99,122.99,0.0872
03/01/2011,113.13,113.13,113.13,113.13,0.0241
02/01/2011,110.47,110.47,110.47,110.47,0.162
01/01/2011,95.07,95.07,95.07,95.07,0.037
12/01/2010,91.68,91.68,91.68,91.68,0.0761
11/01/2010,85.2,85.2,85.2,85.2,0.0529
10/01/2010,80.92,80.92,80.92,80.92,0.0168
09/01/2010,79.58,79.58,79.58,79.58,0.0553
08/01/2010,75.41,75.41,75.41,75.41,-0.0091
